Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,content,,answer,ANSWER
1,1605543456838,16/11/2020 16:17:36,1605543456727,0,16/11/2020 16:17:36,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1605543471661,16/11/2020 16:17:51,1605543471569,0,16/11/2020 16:17:51,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,1,1,1,Screen 1,advancementZone,continue_button,14811.60999997519,,,,,0,1,0,,,,,,taskIntroduction,,,,
3,1605543511617,16/11/2020 16:18:31,1605543511512,0,16/11/2020 16:18:31,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,11,1,1,Screen 1,advancementZone,continue_button,39931.32999999216,,,,,0,1,0,,,,2,,instructionMixed,,,,
4,1605543512351,16/11/2020 16:18:32,1605543512256,0,16/11/2020 16:18:32,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,11,1,2,Screen 2,advancementZone,continue_button,738.3350000018254,,,,,0,1,0,,,,2,,instructionMixed,,,,
5,1605543517898,16/11/2020 16:18:37,1605543517813,0,16/11/2020 16:18:37,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,13,1,1,Screen 1,buttonB,response_button_text,5536.644999985583,,,"No, they do not contain an indirect correlation",1,1,0,0,,,,2,2,example,dataExample_Mixed_AB.png,,"No, they do not contain an indirect correlation",
6,1605543519601,16/11/2020 16:18:39,1605543519515,0,16/11/2020 16:18:39,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,12,2,1,Screen 1,buttonB,response_button_text,1487.7299999934621,,,"No, they do not contain an indirect correlation",1,0,1,0,,,,2,2,example,dataExample_Mixed_AX.png,,"Yes, they contain an indirect correlation",
7,1605543521789,16/11/2020 16:18:41,1605543521708,0,16/11/2020 16:18:41,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,12,2,1,Screen 1,buttonA,response_button_text,3679.984999995213,,,"Yes, they contain an indirect correlation",2,1,0,0,,,,2,2,example,dataExample_Mixed_AX.png,,"Yes, they contain an indirect correlation",
8,1605543522790,16/11/2020 16:18:42,1605543522704,0,16/11/2020 16:18:42,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,14,1,1,Screen 1,advancementZone,continue_button,798.8550000009127,,,,,0,1,0,,,,2,,start,,,,
9,1605543527574,16/11/2020 16:18:47,1605543527480,0,16/11/2020 16:18:47,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,15,1,1,Screen 1,buttonA,response_button_text,4767.2399999864865,,,"Yes, they contain an indirect correlation",1,0,1,0,,,,2,,trial,data1_Mixed_AB.png,,"No, they do not contain an indirect correlation",
10,1605543529621,16/11/2020 16:18:49,1605543529529,0,16/11/2020 16:18:49,28606,13,task-l9mz,,7824127,BLIND,2325139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1920x1200,1920x1057,,Task 2: Identify correlation outside the display,15,spreadsheet,spreadsheet,16,2,1,Screen 1,buttonA,response_button_text,2037.6650000107475,,,"Yes, they contain an indirect correlation",1,1,0,0,,,,2,,trial,data2_Mixed_AX.png,,"Yes, they contain an indirect correlation",
