Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,content,answer,,ANSWER
1,1605296212770,13/11/2020 19:36:52,1605296212531,1,13/11/2020 20:36:52,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1605296215554,13/11/2020 19:36:55,1605296215361,1,13/11/2020 20:36:55,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,1,1,1,Screen 1,advancementZone,continue_button,2729,,,,,0,1,0,,,,,,taskIntroduction,,,,
3,1605296345132,13/11/2020 19:39:05,1605296344851,1,13/11/2020 20:39:04,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,11,1,1,Screen 1,advancementZone,continue_button,129440,,,,,0,1,0,,,,2,,instructions_PSP,,,,
4,1605296587735,13/11/2020 19:43:07,1605296587459,1,13/11/2020 20:43:07,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,11,1,2,Screen 2,advancementZone,continue_button,242585,,,,,0,1,0,,,,2,,instructions_PSP,,,,
5,1605296589539,13/11/2020 19:43:09,1605296589349,1,13/11/2020 20:43:09,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,11,1,3,Screen 3,advancementZone,continue_button,1883,,,,,0,1,0,,,,2,,instructions_PSP,,,,
6,1605296599094,13/11/2020 19:43:19,1605296598873,1,13/11/2020 20:43:18,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,12,1,1,Screen 1,buttonA,response_button_text,9498,,,"Yes, they are correlated",1,1,0,0,,,,2,2,example,dataExample_PSP_ABX.png,"Yes, they are correlated",,
7,1605296601109,13/11/2020 19:43:21,1605296600915,1,13/11/2020 20:43:20,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,13,2,1,Screen 1,buttonB,response_button_text,1839,,,"No, they are not correlated",1,1,0,0,,,,2,2,example,dataExample_PSP_AB.png,"No, they are not correlated",,
8,1605296610611,13/11/2020 19:43:30,1605296610416,1,13/11/2020 20:43:30,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,14,1,1,Screen 1,advancementZone,continue_button,9302,,,,,0,1,0,,,,2,,start,,,,
9,1605296613493,13/11/2020 19:43:33,1605296613290,1,13/11/2020 20:43:33,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,15,1,1,Screen 1,buttonA,response_button_text,2856,,,"Yes, they are correlated",1,1,0,0,,,,2,,trial,data3_PSP_ABX.png,"Yes, they are correlated",,
10,1605296615495,13/11/2020 19:43:35,1605296615285,1,13/11/2020 20:43:35,28606,13,task-xe1r,,7777731,BLIND,2310992,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1536x864,1536x750,,Task 1: Identify correlation,25,spreadsheet,spreadsheet,16,2,1,Screen 1,buttonA,response_button_text,1976,,,"Yes, they are correlated",1,1,0,0,,,,2,,trial,data1_PSP_ABX.png,"Yes, they are correlated",,
