Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,content,,answer
1,1605380408609,14/11/2020 19:00:08,1605380409129,1,14/11/2020 20:00:09,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1605380421054,14/11/2020 19:00:21,1605380421416,1,14/11/2020 20:00:21,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,1,1,1,Screen 1,advancementZone,continue_button,12247.865000004822,,,,,0,1,0,,,,,,taskIntroduction,,,
3,1605380444975,14/11/2020 19:00:44,1605380445249,1,14/11/2020 20:00:45,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,2,1,1,Screen 1,advancementZone,continue_button,23815.770000001066,,,,,0,1,0,,,,1,,instruction,PAP_subset2and3.png,,
4,1605380445648,14/11/2020 19:00:45,1605380446202,1,14/11/2020 20:00:46,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,2,1,2,Screen 2,advancementZone,continue_button,940.5400000032387,,,,,0,1,0,,,,1,,instruction,PAP_subset2and3.png,,
5,1605380452086,14/11/2020 19:00:52,1605380452366,1,14/11/2020 20:00:52,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,3,1,1,Screen 1,buttonB,response_button_text,6111.544999999751,,,"No, they do not contain a multivariable correlation",1,0,1,0,,,,1,1,example,dataExample_Mixed_ABX.png,,"Yes, they contain a multivariable correlation"
6,1605380453557,14/11/2020 19:00:53,1605380454121,1,14/11/2020 20:00:54,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,3,1,1,Screen 1,buttonA,response_button_text,7862.565000003087,,,"Yes, they contain a multivariable correlation",2,1,0,0,,,,1,1,example,dataExample_Mixed_ABX.png,,"Yes, they contain a multivariable correlation"
7,1605380463557,14/11/2020 19:01:03,1605380463784,1,14/11/2020 20:01:03,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,4,2,1,Screen 1,buttonB,response_button_text,9426.40499999834,,,"No, they do not contain a multivariable correlation",1,1,0,0,,,,1,1,example,dataExample_Mixed_BX.png,,"No, they do not contain a multivariable correlation"
8,1605380464319,14/11/2020 19:01:04,1605380464878,1,14/11/2020 20:01:04,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,5,1,1,Screen 1,advancementZone,continue_button,900.3449999945587,,,,,0,1,0,,,,1,,start,,,
9,1605380466688,14/11/2020 19:01:06,1605380467249,1,14/11/2020 20:01:07,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,6,1,1,Screen 1,buttonA,response_button_text,2334.144999993441,,,"Yes, they contain a multivariable correlation",1,1,0,0,,,,1,,trial,data4_Mixed_ABX.png,,"Yes, they contain a multivariable correlation"
10,1605380469224,14/11/2020 19:01:09,1605380469778,1,14/11/2020 20:01:09,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,7,2,1,Screen 1,buttonA,response_button_text,2496.3750000024447,,,"Yes, they contain a multivariable correlation",1,1,0,0,,,,1,,trial,data2_Mixed_ABX.png,,"Yes, they contain a multivariable correlation"
11,1605380472485,14/11/2020 19:01:12,1605380473043,1,14/11/2020 20:01:13,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,8,3,1,Screen 1,buttonA,response_button_text,3232.9850000023725,,,"Yes, they contain a multivariable correlation",1,1,0,0,,,,1,,trial,data3_Mixed_ABX.png,,"Yes, they contain a multivariable correlation"
12,1605380474115,14/11/2020 19:01:14,1605380474679,1,14/11/2020 20:01:14,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,9,4,1,Screen 1,buttonA,response_button_text,1604.4400000027963,,,"Yes, they contain a multivariable correlation",1,0,1,0,,,,1,,trial,data1_Mixed_BX.png,,"No, they do not contain a multivariable correlation"
13,1605380474272,14/11/2020 19:01:14,1605380474721,1,14/11/2020 20:01:14,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,10,1,1,Screen 1,slider,response_slider_initialValue,0,,,50,,0,1,0,,,,1,,end,,,
14,1605380476086,14/11/2020 19:01:16,1605380476654,1,14/11/2020 20:01:16,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,10,1,1,Screen 1,slider,response_slider_endValue,1934.2099999994389,,,82,,0,1,0,,,,1,,end,,,
15,1605380476242,14/11/2020 19:01:16,1605380476656,1,14/11/2020 20:01:16,28606,13,task-z5g6,,7791994,BLIND,2315310,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.73.0,Chrome 86.0.4240.112,1536x864,1536x746,,Task 3: Identify correlation inside and outside the display,11,spreadsheet,spreadsheet,10,1,1,Screen 1,continueButton,continue_button,1934.2099999994389,,,,,0,1,0,,,,1,,end,,,
